Name,Club,Age,Value,Wage,Contract_Years_Remaining,Plot_X,Urgency_Group,Potential
G. Kondogbia,Valencia CF,25,27500000.0,46000.0,3.0,3.17650472773368,3. Stable (3 Years Left),85
Rafinha,FC Barcelona,25,29500000.0,165000.0,1.0,0.8972244460347929,1. Crisis (Expiring < 12m),87
Gabriel Paulista,Valencia CF,27,21000000.0,44000.0,3.0,2.9425488643009627,3. Stable (3 Years Left),83
Morata,Chelsea,25,28500000.0,135000.0,3.0,3.1755683357584283,3. Stable (3 Years Left),85
J. Cillessen,FC Barcelona,29,18000000.0,135000.0,2.0,1.9084610025781388,2. Urgent (2 Years Left),84
W. Ben Yedder,Sevilla FC,27,23500000.0,28000.0,2.0,1.8347463733430462,2. Urgent (2 Years Left),82
C. Bakambu,Beijing Sinobo Guoan FC,27,26000000.0,33000.0,2.0,2.028400631229175,2. Urgent (2 Years Left),83
Pablo Sarabia,Sevilla FC,26,26000000.0,26000.0,1.0,1.2180773870803905,1. Crisis (Expiring < 12m),83
W. Zaha,Crystal Palace,25,28500000.0,78000.0,4.0,4.098014898337486,4. Secure (Long Term),85
Luis Alberto,Lazio,25,28500000.0,67000.0,3.0,3.0350305850446824,3. Stable (3 Years Left),85
Jonathan Viera,Beijing Sinobo Guoan FC,28,22500000.0,31000.0,1.0,0.7985882468853842,1. Crisis (Expiring < 12m),82
Bartra,Real Betis,27,21000000.0,32000.0,4.0,4.057503613349585,4. Secure (Long Term),83
S. Coates,Sporting CP,27,21000000.0,19000.0,3.0,3.2450269250521315,3. Stable (3 Years Left),83
Willian José,Real Sociedad,26,26500000.0,44000.0,5.0,4.820042007618262,4. Secure (Long Term),83
Mário Fernandes,PFC CSKA Moscow,27,18500000.0,1000.0,3.0,3.0091648261818684,3. Stable (3 Years Left),82
Víctor Ruiz,Villarreal CF,29,19500000.0,43000.0,0.0,0.18868653596397772,1. Crisis (Expiring < 12m),83
T. Delaney,Borussia Dortmund,26,21500000.0,61000.0,3.0,3.120384308877102,3. Stable (3 Years Left),83
K. Casteels,VfL Wolfsburg,26,19500000.0,46000.0,2.0,2.098507870497634,2. Urgent (2 Years Left),85
M. Götze,Borussia Dortmund,26,27000000.0,67000.0,1.0,1.1012420419935547,1. Crisis (Expiring < 12m),85
S. Mustafi,Arsenal,26,22500000.0,115000.0,2.0,1.9297455756098776,2. Urgent (2 Years Left),84
J. Pastore,Roma,29,21500000.0,84000.0,3.0,2.8967959221322466,3. Stable (3 Years Left),82
Pedro,Chelsea,30,21000000.0,140000.0,1.0,1.1546805777392568,1. Crisis (Expiring < 12m),82
G. Bonaventura,Milan,28,22000000.0,115000.0,1.0,1.1550566973395904,1. Crisis (Expiring < 12m),82
R. Bürki,Borussia Dortmund,27,18500000.0,50000.0,2.0,2.183536159290052,2. Urgent (2 Years Left),85
Taison,Shakhtar Donetsk,30,21000000.0,1000.0,2.0,2.206620276278236,2. Urgent (2 Years Left),82
S. Nzonzi,Roma,29,17000000.0,77000.0,3.0,3.005671199430469,3. Stable (3 Years Left),82
Marlos,Shakhtar Donetsk,30,21000000.0,1000.0,0.0,0.0007581473435998021,1. Crisis (Expiring < 12m),82
A. Ramsey,Arsenal,27,25000000.0,130000.0,0.0,0.14914758948338758,1. Crisis (Expiring < 12m),83
K. Trippier,Tottenham Hotspur,27,18500000.0,99000.0,3.0,3.074981965388883,3. Stable (3 Years Left),82
G. Sigurðsson,Everton,28,22500000.0,125000.0,3.0,3.1009834386288517,3. Stable (3 Years Left),82
S. Giovinco,Toronto FC,31,20000000.0,15000.0,0.0,0.14789633471805053,1. Crisis (Expiring < 12m),82
M. Arnautović,West Ham United,29,22000000.0,120000.0,3.0,3.1950026709087833,3. Stable (3 Years Left),82
N. Gaitán,Dalian YiFang FC,30,21000000.0,22000.0,2.0,1.9189975784257678,2. Urgent (2 Years Left),82
J. Henderson,Liverpool,28,18000000.0,125000.0,1.0,0.937791476319972,1. Crisis (Expiring < 12m),82
M. Kruse,SV Werder Bremen,30,21500000.0,45000.0,0.0,-0.2030090300795655,1. Crisis (Expiring < 12m),82
L. Fejsa,SL Benfica,29,17000000.0,18000.0,2.0,2.039140070498087,2. Urgent (2 Years Left),82
G. Wijnaldum,Liverpool,27,23000000.0,130000.0,2.0,1.767971136898371,2. Urgent (2 Years Left),82
O. Giroud,Chelsea,31,20000000.0,140000.0,0.0,-0.017200990933769922,1. Crisis (Expiring < 12m),82
A. Guardado,Real Betis,31,19000000.0,35000.0,1.0,1.0213223173537882,1. Crisis (Expiring < 12m),82
M. Rashford,Manchester United,20,27000000.0,110000.0,1.0,0.8932706260641422,1. Crisis (Expiring < 12m),89
Laure Santeiro,Fluminense,30,17000000.0,40000.0,2.0,2.0454166302845054,2. Urgent (2 Years Left),81
L. Bailey,Bayer 04 Leverkusen,20,26500000.0,54000.0,4.0,3.7652501249695245,4. Secure (Long Term),89
M. Akanji,Borussia Dortmund,22,21000000.0,49000.0,3.0,2.768674094374607,3. Stable (3 Years Left),87
F. de Jong,Ajax,21,26000000.0,19000.0,3.0,3.1613002803298293,3. Stable (3 Years Left),89
Nélson Semedo,FC Barcelona,24,20000000.0,125000.0,3.0,2.9300953207056315,3. Stable (3 Years Left),86
Pablo Fornals,Villarreal CF,22,24000000.0,36000.0,3.0,2.8135302563259423,3. Stable (3 Years Left),86
Fabián,Napoli,22,26000000.0,64000.0,4.0,4.011121630027402,4. Secure (Long Term),89
E. Bailly,Manchester United,24,21000000.0,105000.0,1.0,1.1349967765493054,1. Crisis (Expiring < 12m),87
Dani Ceballos,Real Madrid,21,25000000.0,120000.0,4.0,3.8579105137484215,4. Secure (Long Term),88
H. Lozano,PSV,22,24000000.0,22000.0,4.0,4.0614452379095,4. Secure (Long Term),86
Morales,Levante UD,30,17000000.0,33000.0,2.0,1.792673732496884,2. Urgent (2 Years Left),81
J. Seri,Fulham,26,20500000.0,73000.0,3.0,2.775840860584304,3. Stable (3 Years Left),82
M. Politano,Inter,24,22500000.0,57000.0,0.0,0.015677315784073997,1. Crisis (Expiring < 12m),84
M. Brozović,Inter,25,18500000.0,64000.0,3.0,3.0203175608050534,3. Stable (3 Years Left),84
Williams,Athletic Club de Bilbao,24,24500000.0,31000.0,6.0,6.068714950749103,4. Secure (Long Term),87
A. Correa,Atlético Madrid,23,24500000.0,54000.0,5.0,5.113045666861331,4. Secure (Long Term),87
A. Christensen,Chelsea,22,21500000.0,91000.0,3.0,3.2379260397312675,3. Stable (3 Years Left),88
João Mário,Inter,25,22500000.0,71000.0,2.0,2.0081501741505976,2. Urgent (2 Years Left),84
T. Strakosha,Lazio,23,17000000.0,36000.0,0.0,-0.08852176352937702,1. Crisis (Expiring < 12m),86
E. Hysaj,Napoli,24,20000000.0,58000.0,2.0,2.147593097384352,2. Urgent (2 Years Left),86
P. Zieliński,Napoli,24,24500000.0,64000.0,2.0,1.885416125631037,2. Urgent (2 Years Left),88
Ricardo Pereira,Leicester City,24,19000000.0,64000.0,4.0,3.969485710352818,4. Secure (Long Term),85
Grimaldo,SL Benfica,22,20500000.0,14000.0,2.0,1.789228190671133,2. Urgent (2 Years Left),87
R. Guerreiro,Borussia Dortmund,24,24000000.0,54000.0,1.0,0.7626753717077288,1. Crisis (Expiring < 12m),86
A. Doucouré,Watford,25,19500000.0,60000.0,4.0,4.231324207338963,4. Secure (Long Term),85
J. Martínez,Atlanta United,25,22500000.0,14000.0,1.0,1.1679900602561029,1. Crisis (Expiring < 12m),84
C. Bacca,Villarreal CF,31,16000000.0,45000.0,3.0,3.097987103046849,3. Stable (3 Years Left),81
A. Plea,Borussia Mönchengladbach,25,22000000.0,40000.0,4.0,3.954476472207135,4. Secure (Long Term),83
B. Davies,Tottenham Hotspur,25,18500000.0,87000.0,2.0,1.8366471600354228,2. Urgent (2 Years Left),84
M. Nastasić,FC Schalke 04,25,18500000.0,36000.0,3.0,2.828218521335543,3. Stable (3 Years Left),84
A. Milik,Napoli,24,25500000.0,71000.0,2.0,1.8751214490822976,2. Urgent (2 Years Left),88
M. Sabitzer,RB Leipzig,24,22500000.0,54000.0,3.0,3.02461333235306,3. Stable (3 Years Left),84
B. Mendy,Manchester City,23,20000000.0,105000.0,3.0,3.107297961350031,3. Stable (3 Years Left),86
C. Kramer,Borussia Mönchengladbach,27,17000000.0,35000.0,2.0,2.0800986883588655,2. Urgent (2 Years Left),82
S. Vrsaljko,Inter,26,18000000.0,57000.0,0.0,-0.11003305152702858,1. Crisis (Expiring < 12m),84
T. Hazard,Borussia Mönchengladbach,25,21500000.0,40000.0,1.0,1.227432640331597,1. Crisis (Expiring < 12m),83
K. Bellarabi,Bayer 04 Leverkusen,28,18000000.0,76000.0,2.0,2.118948458347884,2. Urgent (2 Years Left),81
S. Zaza,Torino,27,21000000.0,48000.0,0.0,0.027177026255700343,1. Crisis (Expiring < 12m),82
F. Ghoulam,Napoli,27,16500000.0,68000.0,3.0,3.0558603731171763,3. Stable (3 Years Left),82
J. Iličić,Atalanta,30,17000000.0,41000.0,2.0,1.959800031213895,2. Urgent (2 Years Left),81
K. Volland,Bayer 04 Leverkusen,25,22000000.0,76000.0,2.0,1.8738654947505786,2. Urgent (2 Years Left),83
Paco Alcácer,Borussia Dortmund,24,23500000.0,59000.0,4.0,3.927986339325631,4. Secure (Long Term),85
Vitolo,Atlético Madrid,28,18000000.0,65000.0,3.0,3.1289230552321845,3. Stable (3 Years Left),81
G. Xhaka,Arsenal,25,22000000.0,115000.0,2.0,1.757196744314878,2. Urgent (2 Years Left),84
D. Tadić,Ajax,29,17500000.0,26000.0,3.0,2.808036320253458,3. Stable (3 Years Left),81
C. Aránguiz,Bayer 04 Leverkusen,29,17000000.0,76000.0,1.0,0.7730013210108764,1. Crisis (Expiring < 12m),81
S. Verdi,Napoli,25,19500000.0,77000.0,4.0,3.770364401159485,4. Secure (Long Term),81
D. Lovren,Liverpool,28,16000000.0,115000.0,2.0,2.1777302920055037,2. Urgent (2 Years Left),82
X. Shaqiri,Liverpool,26,19000000.0,130000.0,4.0,4.1018289296900114,4. Secure (Long Term),81
J. Corona,FC Porto,25,21500000.0,18000.0,1.0,0.9870869145436626,1. Crisis (Expiring < 12m),83
A. Areola,Paris Saint-Germain,25,16500000.0,61000.0,0.0,-0.20108291967449926,1. Crisis (Expiring < 12m),85
K. Vogt,TSG 1899 Hoffenheim,26,17500000.0,42000.0,3.0,2.9958079375584163,3. Stable (3 Years Left),82
Ander Herrera,Manchester United,28,17500000.0,140000.0,0.0,-0.01326411460971716,1. Crisis (Expiring < 12m),81
E. Salvio,SL Benfica,27,18500000.0,19000.0,0.0,-0.1633990650449924,1. Crisis (Expiring < 12m),81
S. El Shaarawy,Roma,25,21000000.0,77000.0,1.0,0.9669258246189865,1. Crisis (Expiring < 12m),82
C. Smalling,Manchester United,28,16000000.0,130000.0,0.0,-0.05074763280131328,1. Crisis (Expiring < 12m),82
Hulk,Shanghai SIPG FC,31,15500000.0,25000.0,1.0,1.0579250490261083,1. Crisis (Expiring < 12m),81
S. Kagawa,Borussia Dortmund,29,17500000.0,65000.0,1.0,1.0675468254338218,1. Crisis (Expiring < 12m),81
M. Lanzini,West Ham United,25,23000000.0,90000.0,1.0,0.7726520048860223,1. Crisis (Expiring < 12m),85
F. Smolov,Lokomotiv Moscow,28,18500000.0,1000.0,3.0,2.9373063073132357,3. Stable (3 Years Left),81
L. Stindl,Borussia Mönchengladbach,29,18000000.0,43000.0,2.0,2.062929957857118,2. Urgent (2 Years Left),81
O. Toprak,Borussia Dortmund,28,16000000.0,59000.0,2.0,2.001568129290044,2. Urgent (2 Years Left),82
D. Perotti,Roma,29,17500000.0,84000.0,2.0,2.178244920594161,2. Urgent (2 Years Left),81
Pedro León,SD Eibar,31,15500000.0,32000.0,1.0,1.0793468158094726,1. Crisis (Expiring < 12m),81
A. Candreva,Inter,31,15500000.0,74000.0,2.0,1.8314672135407148,2. Urgent (2 Years Left),81
D. Wass,Valencia CF,29,17000000.0,46000.0,3.0,2.785284373700215,3. Stable (3 Years Left),81
E. Lamela,Tottenham Hotspur,26,21000000.0,105000.0,3.0,3.0712096391031576,3. Stable (3 Years Left),82
C. Vela,Los Angeles FC,29,17500000.0,15000.0,3.0,2.763255655270811,3. Stable (3 Years Left),81
Renato Augusto,Beijing Sinobo Guoan FC,30,16500000.0,28000.0,2.0,2.0428877906367315,2. Urgent (2 Years Left),81
H. Herrera,FC Porto,28,17500000.0,20000.0,0.0,0.2201151207124788,1. Crisis (Expiring < 12m),81
Nani,Sporting CP,31,15500000.0,19000.0,1.0,1.0377370889379396,1. Crisis (Expiring < 12m),81
M. Gómez,RC Celta,21,20500000.0,25000.0,3.0,2.944084963103261,3. Stable (3 Years Left),85
K. Havertz,Bayer 04 Leverkusen,19,22000000.0,32000.0,3.0,3.0716441092211766,3. Stable (3 Years Left),89
T. Ndombele,Olympique Lyonnais,21,22500000.0,51000.0,4.0,3.9791264452457584,4. Secure (Long Term),89
H. Aouar,Olympique Lyonnais,20,23500000.0,51000.0,4.0,4.022808394657967,4. Secure (Long Term),90
Carlos Soler,Valencia CF,21,21000000.0,31000.0,2.0,2.2207324043882624,2. Urgent (2 Years Left),87
Odriozola,Real Madrid,22,18500000.0,115000.0,5.0,4.9430513189003875,4. Secure (Long Term),88
M. Almirón,Atlanta United,24,19500000.0,11000.0,0.0,0.2305952819119571,1. Crisis (Expiring < 12m),84
Oyarzabal,Real Sociedad,21,21000000.0,29000.0,5.0,5.202675320978032,4. Secure (Long Term),87
F. Balbuena,West Ham United,26,15500000.0,80000.0,2.0,1.8478955673946482,2. Urgent (2 Years Left),83
M. Marega,FC Porto,27,16000000.0,19000.0,2.0,1.7846806504375827,2. Urgent (2 Years Left),80
B. Pavard,VfB Stuttgart,22,17500000.0,33000.0,2.0,1.8003890006887133,2. Urgent (2 Years Left),86
W. Ndidi,Leicester City,21,17000000.0,50000.0,5.0,4.759110912825775,4. Secure (Long Term),85
G. Lo Celso,Real Betis,22,20000000.0,72000.0,0.0,-0.2027785196220358,1. Crisis (Expiring < 12m),86
Rúben Neves,Wolverhampton Wanderers,21,20500000.0,59000.0,4.0,4.091503386708179,4. Secure (Long Term),87
Mariano,Real Madrid,24,20000000.0,140000.0,4.0,3.7855943242301144,4. Secure (Long Term),85
M. Caldara,Milan,24,17500000.0,73000.0,4.0,3.9094878151468806,4. Secure (Long Term),86
T. Bakayoko,Milan,23,17000000.0,85000.0,0.0,0.17243765548472728,1. Crisis (Expiring < 12m),85
M. Dahoud,Borussia Dortmund,22,20000000.0,50000.0,3.0,2.761635967867913,3. Stable (3 Years Left),86
Rafa,SL Benfica,25,18500000.0,17000.0,2.0,2.157234241294468,2. Urgent (2 Years Left),83
K. Baldé,Inter,23,20000000.0,65000.0,0.0,-0.10907261261330004,1. Crisis (Expiring < 12m),85
Rony Lopes,AS Monaco,22,20000000.0,65000.0,3.0,2.8090824138108283,3. Stable (3 Years Left),85
Santi Mina,Valencia CF,22,20000000.0,40000.0,2.0,2.0983685826820753,2. Urgent (2 Years Left),85
K. Demirbay,TSG 1899 Hoffenheim,24,19500000.0,37000.0,3.0,3.064471423389942,3. Stable (3 Years Left),84
Gayà,Valencia CF,23,16500000.0,33000.0,4.0,4.188736006763526,4. Secure (Long Term),85
André Gomes,Everton,24,19500000.0,130000.0,0.0,0.11753552190194289,1. Crisis (Expiring < 12m),85
M. Sanson,Olympique de Marseille,23,19500000.0,47000.0,2.0,2.1517404651924243,2. Urgent (2 Years Left),85
E. Can,Juventus,24,19500000.0,91000.0,3.0,2.891017286285653,3. Stable (3 Years Left),85
H. Çalhanoğlu,Milan,24,19500000.0,89000.0,2.0,1.8387197718898614,2. Urgent (2 Years Left),84
M. Ginter,Borussia Mönchengladbach,24,15500000.0,28000.0,2.0,2.1253073758204293,2. Urgent (2 Years Left),82
M. Keane,Everton,25,15500000.0,88000.0,3.0,3.153417369633632,3. Stable (3 Years Left),83
L. Shaw,Manchester United,22,16500000.0,96000.0,4.0,4.245252571000337,4. Secure (Long Term),85
S. Haller,Eintracht Frankfurt,24,19000000.0,41000.0,2.0,1.9563088384557132,2. Urgent (2 Years Left),83
Bernard,Everton,25,17500000.0,97000.0,3.0,2.9360090428963916,3. Stable (3 Years Left),81
Portu,Girona FC,26,17500000.0,37000.0,3.0,3.1382064803709984,3. Stable (3 Years Left),81
M. Batshuayi,Valencia CF,24,19500000.0,105000.0,0.0,-0.07959822987349108,1. Crisis (Expiring < 12m),84
Héctor Bellerín,Arsenal,23,16500000.0,85000.0,4.0,4.215378662801783,4. Secure (Long Term),85
J. Tarkowski,Burnley,25,15500000.0,56000.0,3.0,3.179206375921506,3. Stable (3 Years Left),83
Deulofeu,Watford,24,18500000.0,56000.0,4.0,3.964497013687509,4. Secure (Long Term),82
E. Dier,Tottenham Hotspur,24,16500000.0,73000.0,2.0,2.1254355338957485,2. Urgent (2 Years Left),84
J. Murillo,Valencia CF,26,16000000.0,38000.0,3.0,3.1272714370423413,3. Stable (3 Years Left),84
L. Digne,Everton,24,16000000.0,79000.0,4.0,3.8015619344179665,4. Secure (Long Term),84
M. Uth,FC Schalke 04,26,17500000.0,42000.0,3.0,3.2012764533397835,3. Stable (3 Years Left),81
Cristian Tello,Real Betis,26,16000000.0,30000.0,3.0,3.0026261862239285,3. Stable (3 Years Left),80
L. Muriel,Sevilla FC,27,17500000.0,24000.0,3.0,3.1632287330538706,3. Stable (3 Years Left),81
V. Aboubakar,FC Porto,26,18000000.0,19000.0,2.0,1.910024800515306,2. Urgent (2 Years Left),82
A. Oxlade-Chamberlain,Liverpool,24,19500000.0,94000.0,3.0,3.1977616142481002,3. Stable (3 Years Left),85
S. Aurier,Tottenham Hotspur,25,15500000.0,82000.0,3.0,2.9446008393670815,3. Stable (3 Years Left),83
Sergi Enrich,SD Eibar,28,15500000.0,34000.0,0.0,-0.24458117425985082,1. Crisis (Expiring < 12m),80
R. Rodríguez,Milan,25,15500000.0,81000.0,2.0,2.202690988209632,2. Urgent (2 Years Left),83
R. Pereyra,Watford,27,15500000.0,65000.0,2.0,1.7956433383930668,2. Urgent (2 Years Left),80
A. Ljajić,Beşiktaş JK,26,17500000.0,52000.0,0.0,-0.09034318120479257,1. Crisis (Expiring < 12m),81
Canales,Real Betis,27,15500000.0,30000.0,3.0,3.2250309835254023,3. Stable (3 Years Left),80
L. de Jong,PSV,27,16000000.0,23000.0,2.0,2.225303573468778,2. Urgent (2 Years Left),80
Muniain,Athletic Club de Bilbao,25,18500000.0,31000.0,5.0,5.036718944061643,4. Secure (Long Term),83
Alexandre Pato,Tianjin Quanjian FC,28,15500000.0,35000.0,0.0,0.06591860608489963,1. Crisis (Expiring < 12m),80
D. Sturridge,Liverpool,28,15500000.0,125000.0,0.0,-0.025777239010840114,1. Crisis (Expiring < 12m),80
V. Tsygankov,Dynamo Kyiv,20,18000000.0,1000.0,4.0,3.8966053858490324,4. Secure (Long Term),86
David Neres,Ajax,21,18000000.0,18000.0,3.0,2.914332272684958,3. Stable (3 Years Left),86
Raphinha,Sporting CP,21,18000000.0,13000.0,3.0,3.0862592280385193,3. Stable (3 Years Left),86
A. Harit,FC Schalke 04,21,18000000.0,27000.0,2.0,2.12618726471884,2. Urgent (2 Years Left),86
Richarlison,Everton,21,18000000.0,79000.0,4.0,4.145789521862924,4. Secure (Long Term),86
L. Martínez,Inter,20,18000000.0,54000.0,4.0,4.144809071397277,4. Secure (Long Term),86
F. Kessié,Milan,21,19500000.0,24000.0,0.0,-0.20439694847565482,1. Crisis (Expiring < 12m),88
André Silva,Sevilla FC,22,19000000.0,84000.0,0.0,-0.002789847648709265,1. Crisis (Expiring < 12m),87
C. Pulisic,Borussia Dortmund,19,18000000.0,26000.0,1.0,0.7787793800083221,1. Crisis (Expiring < 12m),87
Marcos Llorente,Real Madrid,23,16000000.0,110000.0,2.0,2.0247644411618677,2. Urgent (2 Years Left),87
B. Verbič,Dynamo Kyiv,24,15500000.0,1000.0,4.0,3.9707652506866884,4. Secure (Long Term),81
S. Bergwijn,PSV,20,18000000.0,17000.0,3.0,3.1938520913791497,3. Stable (3 Years Left),86
A. Golovin,AS Monaco,22,17000000.0,61000.0,4.0,3.9254575062760395,4. Secure (Long Term),85
C. Pavón,Boca Juniors,22,17500000.0,27000.0,3.0,2.8085335082138028,3. Stable (3 Years Left),85
F. Cervi,SL Benfica,24,17000000.0,15000.0,4.0,3.821495841026418,4. Secure (Long Term),84
A. Rebić,Eintracht Frankfurt,24,16000000.0,39000.0,3.0,3.1307553158587362,3. Stable (3 Years Left),82
A. Sanabria,Real Betis,22,17500000.0,27000.0,2.0,2.0591090316581306,2. Urgent (2 Years Left),85
M. Philipp,Borussia Dortmund,24,17000000.0,53000.0,3.0,2.800561338061395,3. Stable (3 Years Left),84
A. Saint-Maximin,OGC Nice,21,18000000.0,31000.0,1.0,0.7920534030574987,1. Crisis (Expiring < 12m),86
L. Alario,Bayer 04 Leverkusen,25,16000000.0,67000.0,3.0,3.10048456572956,3. Stable (3 Years Left),82
Ricardo Horta,SC Braga,23,17000000.0,16000.0,3.0,2.786381503182097,3. Stable (3 Years Left),84
M. Meyer,Crystal Palace,22,16000000.0,53000.0,2.0,2.1609300296451783,2. Urgent (2 Years Left),83
Bruma,RB Leipzig,23,16500000.0,48000.0,3.0,3.103121113578248,3. Stable (3 Years Left),83
R. Centurión,Racing Club,25,15500000.0,25000.0,2.0,1.7906743903209499,2. Urgent (2 Years Left),81
Otávio,FC Porto,23,17500000.0,15000.0,2.0,1.792418857042596,2. Urgent (2 Years Left),85
D. Baselli,Torino,26,15500000.0,49000.0,1.0,1.2433197892505876,1. Crisis (Expiring < 12m),82
Denis Suárez,FC Barcelona,24,17500000.0,120000.0,1.0,0.9371353978780601,1. Crisis (Expiring < 12m),86
M. Elyounoussi,Southampton,23,17500000.0,48000.0,4.0,3.9353210735334456,4. Secure (Long Term),85
L. Bittencourt,TSG 1899 Hoffenheim,24,16000000.0,35000.0,4.0,4.156399783628752,4. Secure (Long Term),82
Sergi Darder,RCD Espanyol,24,16000000.0,29000.0,4.0,4.223624288691929,4. Secure (Long Term),83
J. Veretout,Fiorentina,25,16500000.0,59000.0,2.0,2.2430005319114352,2. Urgent (2 Years Left),84
H. Vanaken,Club Brugge KV,25,15500000.0,27000.0,1.0,1.1266890926294708,1. Crisis (Expiring < 12m),81
Campaña,Levante UD,25,15500000.0,28000.0,1.0,0.9381297927654579,1. Crisis (Expiring < 12m),82
M. Gregoritsch,FC Augsburg,24,16000000.0,27000.0,3.0,2.7917503583493346,3. Stable (3 Years Left),82
R. Barkley,Chelsea,24,16000000.0,89000.0,4.0,4.138573457963719,4. Secure (Long Term),82
Sérgio Oliveira,FC Porto,26,15500000.0,17000.0,2.0,2.0292021248679024,2. Urgent (2 Years Left),82
C. Wilson,Bournemouth,26,15500000.0,77000.0,3.0,2.962111004623488,3. Stable (3 Years Left),81
F. Chiesa,Fiorentina,20,16000000.0,46000.0,3.0,3.203177192547368,3. Stable (3 Years Left),87
L. Jović,Eintracht Frankfurt,20,15500000.0,12000.0,0.0,-0.19440125884692433,1. Crisis (Expiring < 12m),86
Diogo Jota,Wolverhampton Wanderers,21,15500000.0,56000.0,2.0,1.9963125521454295,2. Urgent (2 Years Left),86
Y. Tielemans,AS Monaco,21,16000000.0,47000.0,3.0,2.7556768223837094,3. Stable (3 Years Left),87
P. Cutrone,Milan,20,16000000.0,62000.0,4.0,3.984330320997063,4. Secure (Long Term),89
Vinícius Júnior,Real Madrid,17,17500000.0,66000.0,6.0,5.778151637840919,4. Secure (Long Term),92
R. Bentancur,Juventus,21,15500000.0,62000.0,3.0,2.809408958134036,3. Stable (3 Years Left),89
N. Barella,Cagliari,21,15500000.0,24000.0,3.0,2.8087631233885526,3. Stable (3 Years Left),89
