Name,Club,Age,Position,Value,Wage,Release Clause,Clause_Premium_Pct
Morales,Levante UD,30,LS,17000000.0,33000.0,35700000.0,110.00000000000001
J. Seri,Fulham,26,LDM,20500000.0,73000.0,40500000.0,97.5609756097561
M. Politano,Inter,24,RM,22500000.0,57000.0,40900000.0,81.77777777777779
M. Brozović,Inter,25,LDM,18500000.0,64000.0,32800000.0,77.29729729729729
Williams,Athletic Club de Bilbao,24,LW,24500000.0,31000.0,56400000.0,130.20408163265307
A. Correa,Atlético Madrid,23,RM,24500000.0,54000.0,55100000.0,124.89795918367348
A. Christensen,Chelsea,22,LCB,21500000.0,91000.0,44100000.0,105.11627906976744
João Mário,Inter,25,CAM,22500000.0,71000.0,39900000.0,77.33333333333333
T. Strakosha,Lazio,23,GK,17000000.0,36000.0,30200000.0,77.64705882352942
E. Hysaj,Napoli,24,RB,20000000.0,58000.0,35500000.0,77.5
P. Zieliński,Napoli,24,RCM,24500000.0,64000.0,46600000.0,90.20408163265307
Ricardo Pereira,Leicester City,24,RB,19000000.0,64000.0,37500000.0,97.36842105263158
Grimaldo,SL Benfica,22,LB,20500000.0,14000.0,45100000.0,120.0
R. Guerreiro,Borussia Dortmund,24,LM,24000000.0,54000.0,42600000.0,77.5
A. Doucouré,Watford,25,RDM,19500000.0,60000.0,38500000.0,97.43589743589743
J. Martínez,Atlanta United,25,LS,22500000.0,14000.0,35400000.0,57.333333333333336
C. Bacca,Villarreal CF,31,LS,16000000.0,45000.0,33600000.0,110.00000000000001
A. Plea,Borussia Mönchengladbach,25,LW,22000000.0,40000.0,39100000.0,77.72727272727272
B. Davies,Tottenham Hotspur,25,LB,18500000.0,87000.0,35600000.0,92.43243243243244
M. Nastasić,FC Schalke 04,25,LCB,18500000.0,36000.0,32800000.0,77.29729729729729
A. Milik,Napoli,24,CF,25500000.0,71000.0,48500000.0,90.19607843137256
M. Sabitzer,RB Leipzig,24,LM,22500000.0,54000.0,39900000.0,77.33333333333333
B. Mendy,Manchester City,23,LB,20000000.0,105000.0,38500000.0,92.5
C. Kramer,Borussia Mönchengladbach,27,CDM,17000000.0,35000.0,30200000.0,77.64705882352942
S. Vrsaljko,Inter,26,RB,18000000.0,57000.0,35600000.0,97.77777777777777
T. Hazard,Borussia Mönchengladbach,25,RW,21500000.0,40000.0,38200000.0,77.67441860465117
K. Bellarabi,Bayer 04 Leverkusen,28,RM,18000000.0,76000.0,30600000.0,70.0
S. Zaza,Torino,27,RS,21000000.0,48000.0,40300000.0,91.9047619047619
F. Ghoulam,Napoli,27,LB,16500000.0,68000.0,29300000.0,77.57575757575758
B. Lecomte,Montpellier HSC,27,GK,15000000.0,27000.0,31100000.0,107.33333333333333
J. Iličić,Atalanta,30,CAM,17000000.0,41000.0,28900000.0,70.0
K. Volland,Bayer 04 Leverkusen,25,ST,22000000.0,76000.0,39100000.0,77.72727272727272
Paco Alcácer,Borussia Dortmund,24,ST,23500000.0,59000.0,41700000.0,77.4468085106383
Vitolo,Atlético Madrid,28,LM,18000000.0,65000.0,36900000.0,105.0
G. Xhaka,Arsenal,25,LDM,22000000.0,115000.0,43500000.0,97.72727272727273
D. Tadić,Ajax,29,LAM,17500000.0,26000.0,24500000.0,40.0
C. Aránguiz,Bayer 04 Leverkusen,29,LDM,17000000.0,76000.0,28900000.0,70.0
S. Verdi,Napoli,25,RW,19500000.0,77000.0,33200000.0,70.25641025641025
D. Lovren,Liverpool,28,RCB,16000000.0,115000.0,31600000.0,97.5
G. Medel,Beşiktaş JK,30,RCB,13000000.0,56000.0,24700000.0,90.0
X. Shaqiri,Liverpool,26,CAM,19000000.0,130000.0,36100000.0,90.0
J. Corona,FC Porto,25,RM,21500000.0,18000.0,44600000.0,107.44186046511628
A. Areola,Paris Saint-Germain,25,GK,16500000.0,61000.0,31800000.0,92.72727272727272
K. Vogt,TSG 1899 Hoffenheim,26,CB,17500000.0,42000.0,31100000.0,77.71428571428571
Ander Herrera,Manchester United,28,CM,17500000.0,140000.0,32400000.0,85.14285714285714
E. Salvio,SL Benfica,27,RW,18500000.0,19000.0,37000000.0,100.0
S. El Shaarawy,Roma,25,LM,21000000.0,77000.0,37300000.0,77.61904761904762
C. Smalling,Manchester United,28,RCB,16000000.0,130000.0,30800000.0,92.5
Hulk,Shanghai SIPG FC,31,RCM,15500000.0,25000.0,34100000.0,120.0
S. Kagawa,Borussia Dortmund,29,CAM,17500000.0,65000.0,29800000.0,70.28571428571428
M. Lanzini,West Ham United,25,CAM,23000000.0,90000.0,45400000.0,97.3913043478261
F. Smolov,Lokomotiv Moscow,28,ST,18500000.0,1000.0,38900000.0,110.27027027027027
L. Stindl,Borussia Mönchengladbach,29,CF,18000000.0,43000.0,30600000.0,70.0
O. Toprak,Borussia Dortmund,28,CB,16000000.0,59000.0,28400000.0,77.5
D. Perotti,Roma,29,LW,17500000.0,84000.0,29800000.0,70.28571428571428
B. Höwedes,Lokomotiv Moscow,30,RCB,13000000.0,1000.0,27300000.0,110.00000000000001
S. Kjær,Sevilla FC,29,RCB,14000000.0,23000.0,29400000.0,110.00000000000001
S. Bender,Bayer 04 Leverkusen,29,LCB,14000000.0,69000.0,23800000.0,70.0
M. Valbuena,Fenerbahçe SK,33,LM,11000000.0,86000.0,20900000.0,90.0
Pedro León,SD Eibar,31,RM,15500000.0,32000.0,32600000.0,110.3225806451613
K. Boateng,Sassuolo,31,CM,15000000.0,65000.0,25500000.0,70.0
A. Candreva,Inter,31,RM,15500000.0,74000.0,26400000.0,70.3225806451613
D. Wass,Valencia CF,29,RB,17000000.0,46000.0,35700000.0,110.00000000000001
E. Lamela,Tottenham Hotspur,26,RM,21000000.0,105000.0,40400000.0,92.38095238095238
D. Rose,Tottenham Hotspur,27,LB,14500000.0,92000.0,26800000.0,84.82758620689656
C. Vela,Los Angeles FC,29,RW,17500000.0,15000.0,26300000.0,50.28571428571429
Renato Augusto,Beijing Sinobo Guoan FC,30,LCM,16500000.0,28000.0,36300000.0,120.0
João Moutinho,Wolverhampton Wanderers,31,RCM,15000000.0,85000.0,28500000.0,90.0
Borja Valero,Inter,33,CAM,11000000.0,74000.0,18700000.0,70.0
B. Gomis,Al Hilal,32,ST,14000000.0,56000.0,23800000.0,70.0
Manuel Fernandes,Lokomotiv Moscow,32,LM,14000000.0,1000.0,29400000.0,110.00000000000001
H. Herrera,FC Porto,28,CM,17500000.0,20000.0,35000000.0,100.0
Raffael,Borussia Mönchengladbach,33,CF,11000000.0,41000.0,18700000.0,70.0
Nani,Sporting CP,31,LM,15500000.0,19000.0,31000000.0,100.0
J. Milner,Liverpool,32,CM,13500000.0,120000.0,25700000.0,90.37037037037037
M. Gómez,RC Celta,21,ST,20500000.0,25000.0,44600000.0,117.56097560975608
K. Havertz,Bayer 04 Leverkusen,19,CAM,22000000.0,32000.0,41800000.0,90.0
T. Ndombele,Olympique Lyonnais,21,CM,22500000.0,51000.0,47300000.0,110.22222222222223
H. Aouar,Olympique Lyonnais,20,LM,23500000.0,51000.0,49400000.0,110.2127659574468
Carlos Soler,Valencia CF,21,RM,21000000.0,31000.0,48300000.0,130.0
Odriozola,Real Madrid,22,RB,18500000.0,115000.0,41600000.0,124.86486486486486
M. Almirón,Atlanta United,24,CAM,19500000.0,11000.0,30700000.0,57.43589743589743
Welington Dano,Cruzeiro,30,LB,10500000.0,34000.0,20000000.0,90.47619047619048
Oyarzabal,Real Sociedad,21,CAM,21000000.0,29000.0,48300000.0,130.0
F. Balbuena,West Ham United,26,RCB,15500000.0,80000.0,30600000.0,97.41935483870968
M. Marega,FC Porto,27,RS,16000000.0,19000.0,32000000.0,100.0
B. Pavard,VfB Stuttgart,22,RB,17500000.0,33000.0,33300000.0,90.28571428571428
W. Ndidi,Leicester City,21,LDM,17000000.0,50000.0,33600000.0,97.6470588235294
A. Onana,Ajax,22,GK,14500000.0,14000.0,21400000.0,47.58620689655172
G. Lo Celso,Real Betis,22,RCM,20000000.0,72000.0,37700000.0,88.5
M. Acuña,Sporting CP,26,LB,12500000.0,16000.0,25000000.0,100.0
Rúben Neves,Wolverhampton Wanderers,21,LCM,20500000.0,59000.0,43100000.0,110.2439024390244
Mariano,Real Madrid,24,ST,20000000.0,140000.0,42500000.0,112.5
Raúl,SC Braga,28,CB,12000000.0,19000.0,24000000.0,100.0
M. Caldara,Milan,24,CB,17500000.0,73000.0,33300000.0,90.28571428571428
M. Vecino,Inter,26,LM,14500000.0,63000.0,25700000.0,77.24137931034483
T. Bakayoko,Milan,23,LCM,17000000.0,85000.0,32100000.0,88.8235294117647
M. Dahoud,Borussia Dortmund,22,CM,20000000.0,50000.0,38000000.0,90.0
Rafa,SL Benfica,25,RW,18500000.0,17000.0,38400000.0,107.56756756756755
K. Baldé,Inter,23,RM,20000000.0,65000.0,38100000.0,90.5
G. Rulli,Real Sociedad,26,GK,14000000.0,26000.0,30500000.0,117.85714285714286
Rony Lopes,AS Monaco,22,RM,20000000.0,65000.0,39500000.0,97.5
Santi Mina,Valencia CF,22,LS,20000000.0,40000.0,43500000.0,117.5
K. Demirbay,TSG 1899 Hoffenheim,24,RCM,19500000.0,37000.0,34600000.0,77.43589743589745
Gayà,Valencia CF,23,LB,16500000.0,33000.0,35900000.0,117.57575757575758
André Gomes,Everton,24,LDM,19500000.0,130000.0,34700000.0,77.94871794871796
N. Tagliafico,Ajax,25,LB,15000000.0,20000.0,22100000.0,47.333333333333336
M. Sanson,Olympique de Marseille,23,RDM,19500000.0,47000.0,38500000.0,97.43589743589743
Pacheco,Deportivo Alavés,26,GK,13000000.0,23000.0,28300000.0,117.6923076923077
E. Can,Juventus,24,CM,19500000.0,91000.0,33600000.0,72.3076923076923
H. Çalhanoğlu,Milan,24,CAM,19500000.0,89000.0,34600000.0,77.43589743589745
M. Ginter,Borussia Mönchengladbach,24,RWB,15500000.0,28000.0,27500000.0,77.41935483870968
M. Keane,Everton,25,RCB,15500000.0,88000.0,30600000.0,97.41935483870968
T. Stepanenko,Shakhtar Donetsk,28,RDM,12000000.0,1000.0,25200000.0,110.00000000000001
L. Shaw,Manchester United,22,LB,16500000.0,96000.0,31800000.0,92.72727272727272
Z. Feddal,Real Betis,28,CB,12000000.0,29000.0,25200000.0,110.00000000000001
S. Haller,Eintracht Frankfurt,24,RS,19000000.0,41000.0,33700000.0,77.36842105263158
Bernard,Everton,25,LM,17500000.0,97000.0,34600000.0,97.71428571428571
T. Inui,Real Betis,30,LM,14000000.0,30000.0,29400000.0,110.00000000000001
Portu,Girona FC,26,RM,17500000.0,37000.0,38100000.0,117.71428571428571
M. Batshuayi,Valencia CF,24,ST,19500000.0,105000.0,36200000.0,85.64102564102564
E. Zahavi,Guangzhou R&F; FC,30,LS,14500000.0,24000.0,31200000.0,115.17241379310346
T. Vaclík,Sevilla FC,29,GK,11500000.0,17000.0,25000000.0,117.3913043478261
N. Pope,Burnley,26,GK,13000000.0,48000.0,25700000.0,97.6923076923077
Héctor Bellerín,Arsenal,23,RB,16500000.0,85000.0,32600000.0,97.57575757575758
P. Kadeřábek,TSG 1899 Hoffenheim,26,RWB,14000000.0,39000.0,24900000.0,77.85714285714286
J. Butland,Stoke City,25,GK,14000000.0,39000.0,27700000.0,97.85714285714285
J. Vestergaard,Southampton,25,CB,14500000.0,51000.0,28600000.0,97.24137931034483
J. Tarkowski,Burnley,25,RCB,15500000.0,56000.0,30600000.0,97.41935483870968
Deulofeu,Watford,24,RS,18500000.0,56000.0,36500000.0,97.2972972972973
E. Dier,Tottenham Hotspur,24,CDM,16500000.0,73000.0,31800000.0,92.72727272727272
J. Murillo,Valencia CF,26,LCB,16000000.0,38000.0,34800000.0,117.5
M. Badelj,Lazio,29,CDM,11500000.0,53000.0,19600000.0,70.43478260869566
Ismaily,Shakhtar Donetsk,28,LB,11500000.0,1000.0,24200000.0,110.43478260869566
N. Schulz,TSG 1899 Hoffenheim,25,LWB,14500000.0,37000.0,25700000.0,77.24137931034483
L. Digne,Everton,24,LB,16000000.0,79000.0,31600000.0,97.5
M. Uth,FC Schalke 04,26,ST,17500000.0,42000.0,31100000.0,77.71428571428571
Cristian Tello,Real Betis,26,LM,16000000.0,30000.0,33600000.0,110.00000000000001
D. Vida,Beşiktaş JK,29,LCB,11500000.0,55000.0,21900000.0,90.43478260869566
L. Muriel,Sevilla FC,27,ST,17500000.0,24000.0,38100000.0,117.71428571428571
V. Aboubakar,FC Porto,26,ST,18000000.0,19000.0,37400000.0,107.77777777777777
A. Oxlade-Chamberlain,Liverpool,24,CM,19500000.0,94000.0,38500000.0,97.43589743589743
S. Aurier,Tottenham Hotspur,25,RB,15500000.0,82000.0,29800000.0,92.25806451612904
J. Matip,Liverpool,26,CB,15000000.0,99000.0,29600000.0,97.33333333333334
Y. Rakitskyi,Shakhtar Donetsk,28,LCB,12000000.0,1000.0,25200000.0,110.00000000000001
Sergi Enrich,SD Eibar,28,RS,15500000.0,34000.0,32600000.0,110.3225806451613
A. Yarmolenko,West Ham United,28,RM,15000000.0,92000.0,28500000.0,90.0
Hugo Mallo,RC Celta,27,RB,13500000.0,27000.0,29400000.0,117.77777777777779
André Almeida,SL Benfica,27,RB,12000000.0,15000.0,24000000.0,100.0
D. Didavi,VfB Stuttgart,28,CAM,15000000.0,44000.0,25500000.0,70.0
R. Rodríguez,Milan,25,LB,15500000.0,81000.0,27500000.0,77.41935483870968
R. Pereyra,Watford,27,LM,15500000.0,65000.0,29500000.0,90.32258064516128
Mario Gaspar,Villarreal CF,27,RB,12000000.0,35000.0,25200000.0,110.00000000000001
Maicon,Galatasaray SK,29,CB,11500000.0,63000.0,21900000.0,90.43478260869566
D. Blind,Ajax,28,LB,12000000.0,22000.0,16800000.0,40.0
J. Zoet,PSV,27,GK,12500000.0,16000.0,18400000.0,47.199999999999996
A. Ljajić,Beşiktaş JK,26,CAM,17500000.0,52000.0,33100000.0,89.14285714285714
Canales,Real Betis,27,RCM,15500000.0,30000.0,32600000.0,110.3225806451613
Iago Falqué,Torino,28,RW,15000000.0,59000.0,25500000.0,70.0
L. de Jong,PSV,27,ST,16000000.0,23000.0,22400000.0,40.0
Muniain,Athletic Club de Bilbao,25,CAM,18500000.0,31000.0,40200000.0,117.29729729729729
Susaeta,Athletic Club de Bilbao,30,RW,14000000.0,33000.0,29400000.0,110.00000000000001
S. Rudy,FC Schalke 04,28,CDM,12000000.0,37000.0,20400000.0,70.0
K. Trapp,Eintracht Frankfurt,27,GK,11500000.0,61000.0,20900000.0,81.73913043478261
V. Wanyama,Tottenham Hotspur,27,CDM,14500000.0,86000.0,27900000.0,92.41379310344827
N. Nkoulou,Torino,28,CB,12000000.0,50000.0,20400000.0,70.0
R. Boudebouz,Real Betis,28,CAM,15000000.0,31000.0,31500000.0,110.00000000000001
Camacho,VfL Wolfsburg,28,CDM,13500000.0,51000.0,24000000.0,77.77777777777779
M. Musacchio,Milan,27,RCB,12500000.0,85000.0,21300000.0,70.39999999999999
C. Stuani,Girona FC,31,ST,13500000.0,41000.0,28400000.0,110.37037037037037
P. Gulácsi,RB Leipzig,28,GK,10500000.0,45000.0,17900000.0,70.47619047619048
F. Delph,Manchester City,28,LB,11500000.0,120000.0,21300000.0,85.21739130434783
A. Lallana,Liverpool,30,CM,13500000.0,110000.0,25700000.0,90.37037037037037
S. Coleman,Everton,29,RWB,11000000.0,97000.0,20900000.0,90.0
Alexandre Pato,Tianjin Quanjian FC,28,ST,15500000.0,35000.0,33300000.0,114.83870967741936
Beñat,Athletic Club de Bilbao,31,LCM,12500000.0,30000.0,26300000.0,110.4
A. Fernández,Beijing Renhe FC,32,LDM,11000000.0,20000.0,23700000.0,115.45454545454545
K. Gameiro,Valencia CF,31,ST,13500000.0,45000.0,28400000.0,110.37037037037037
V. Birsa,Chievo Verona,31,CAM,13000000.0,23000.0,22100000.0,70.0
D. Valeri,Portland Timbers,32,RF,11500000.0,12000.0,17300000.0,50.43478260869565
D. Sturridge,Liverpool,28,ST,15500000.0,125000.0,29500000.0,90.32258064516128
Raúl García,Athletic Club de Bilbao,31,CAM,13000000.0,30000.0,27300000.0,110.00000000000001
S. Defour,Burnley,30,LCM,13500000.0,65000.0,25700000.0,90.37037037037037
A. Gignac,Tigres U.A.N.L.,32,ST,12000000.0,70000.0,19200000.0,60.0
M. Gómez,VfB Stuttgart,32,LS,12000000.0,46000.0,20400000.0,70.0
Jesús Navas,Sevilla FC,32,RM,11500000.0,22000.0,24200000.0,110.43478260869566
W. Rooney,DC United,32,ST,12000000.0,13000.0,18000000.0,50.0
V. Tsygankov,Dynamo Kyiv,20,RM,18000000.0,1000.0,41400000.0,130.0
Rúben Dias,SL Benfica,21,RCB,15000000.0,10000.0,33000000.0,120.0
David Neres,Ajax,21,RW,18000000.0,18000.0,28800000.0,60.0
Raphinha,Sporting CP,21,RM,18000000.0,13000.0,39600000.0,120.0
A. Harit,FC Schalke 04,21,LCM,18000000.0,27000.0,34200000.0,90.0
Richarlison,Everton,21,ST,18000000.0,79000.0,37800000.0,110.00000000000001
L. Martínez,Inter,20,ST,18000000.0,54000.0,34200000.0,90.0
F. Kessié,Milan,21,CM,19500000.0,24000.0,36700000.0,88.2051282051282
Luimo Boas Santos,Santos,30,ST,12000000.0,26000.0,22800000.0,90.0
André Silva,Sevilla FC,22,ST,19000000.0,84000.0,36600000.0,92.63157894736842
C. Pulisic,Borussia Dortmund,19,RM,18000000.0,26000.0,34200000.0,90.0
L. Tousart,Olympique Lyonnais,21,RDM,14500000.0,43000.0,28600000.0,97.24137931034483
Marcos Llorente,Real Madrid,23,CDM,16000000.0,110000.0,36000000.0,125.0
B. Verbič,Dynamo Kyiv,24,LM,15500000.0,1000.0,33700000.0,117.41935483870967
S. Bergwijn,PSV,20,LW,18000000.0,17000.0,28800000.0,60.0
A. Diallo,Borussia Dortmund,22,LCB,15000000.0,43000.0,28500000.0,90.0
A. Golovin,AS Monaco,22,CAM,17000000.0,61000.0,35700000.0,110.00000000000001
C. Pavón,Boca Juniors,22,RW,17500000.0,27000.0,28000000.0,60.0
K. Toko-Ekambi,Villarreal CF,25,LS,15000000.0,38000.0,32600000.0,117.33333333333333
Granell,Girona FC,29,LWB,12000000.0,37000.0,25200000.0,110.00000000000001
F. Cervi,SL Benfica,24,LW,17000000.0,15000.0,35300000.0,107.6470588235294
J. Weigl,Borussia Dortmund,22,CDM,14500000.0,43000.0,25700000.0,77.24137931034483
V. Lindelöf,Manchester United,23,CB,14500000.0,91000.0,29700000.0,104.82758620689656
A. Rebić,Eintracht Frankfurt,24,CAM,16000000.0,39000.0,28400000.0,77.5
A. Sanabria,Real Betis,22,ST,17500000.0,27000.0,40300000.0,130.2857142857143
R. Battaglia,Sporting CP,26,CM,14500000.0,17000.0,30100000.0,107.58620689655172
M. Philipp,Borussia Dortmund,24,ST,17000000.0,53000.0,30200000.0,77.64705882352942
A. Saint-Maximin,OGC Nice,21,RS,18000000.0,31000.0,37800000.0,110.00000000000001
D. Zappacosta,Chelsea,26,RB,12500000.0,94000.0,24100000.0,92.80000000000001
L. Alario,Bayer 04 Leverkusen,25,ST,16000000.0,67000.0,28400000.0,77.5
D. Benedetto,Boca Juniors,28,ST,13000000.0,32000.0,18200000.0,40.0
I. Marcone,Cruz Azul,28,RDM,11500000.0,31000.0,20400000.0,77.39130434782608
J. Gbamin,1. FSV Mainz 05,22,RCM,14500000.0,26000.0,27200000.0,87.58620689655172
J. Lerma,Bournemouth,23,RCM,14500000.0,55000.0,28600000.0,97.24137931034483
Ricardo Horta,SC Braga,23,LM,17000000.0,16000.0,35300000.0,107.6470588235294
R. Zobnin,Spartak Moscow,24,LDM,15000000.0,1000.0,34500000.0,130.0
M. Meyer,Crystal Palace,22,LM,16000000.0,53000.0,31600000.0,97.5
Bruma,RB Leipzig,23,LW,16500000.0,48000.0,29300000.0,77.57575757575758
R. Centurión,Racing Club,25,RM,15500000.0,25000.0,24400000.0,57.41935483870968
Jonny,Wolverhampton Wanderers,24,LWB,13500000.0,43000.0,26200000.0,94.07407407407408
Otávio,FC Porto,23,RM,17500000.0,15000.0,38500000.0,120.0
J. Hofmann,Borussia Mönchengladbach,25,CAM,15000000.0,32000.0,26600000.0,77.33333333333333
N. Aké,Bournemouth,23,CB,14500000.0,55000.0,28600000.0,97.24137931034483
S. Kolašinac,Arsenal,25,LB,13000000.0,89000.0,25700000.0,97.6923076923077
Roger,Levante UD,27,RS,14500000.0,32000.0,31500000.0,117.24137931034481
Sergio Rico,Fulham,24,GK,11500000.0,13000.0,21700000.0,88.69565217391305
L. Milivojević,Crystal Palace,27,RCM,12500000.0,56000.0,24700000.0,97.6
D. Baselli,Torino,26,CDM,15500000.0,49000.0,27500000.0,77.41935483870968
K. Rekik,Hertha BSC,23,CB,14000000.0,26000.0,24900000.0,77.85714285714286
Denis Suárez,FC Barcelona,24,CM,17500000.0,120000.0,39400000.0,125.14285714285714
W. Orban,RB Leipzig,25,RCB,13000000.0,48000.0,23100000.0,77.6923076923077
Mário Rui,Napoli,27,LB,11500000.0,60000.0,20400000.0,77.39130434782608
Iñigo Martínez,Athletic Club de Bilbao,27,LCB,12000000.0,26000.0,26100000.0,117.5
K. Zouma,Everton,23,CB,14000000.0,80000.0,28200000.0,101.42857142857142
J. Brooks,VfL Wolfsburg,25,LCB,14000000.0,44000.0,24900000.0,77.85714285714286
L. Karius,Beşiktaş JK,25,GK,11500000.0,71000.0,21600000.0,87.82608695652175
Zé Luís,Spartak Moscow,27,ST,14500000.0,1000.0,31500000.0,117.24137931034481
D. Klaassen,SV Werder Bremen,25,LCM,15000000.0,32000.0,26600000.0,77.33333333333333
M. Elyounoussi,Southampton,23,LM,17500000.0,48000.0,36800000.0,110.28571428571428
L. Bittencourt,TSG 1899 Hoffenheim,24,LM,16000000.0,35000.0,28400000.0,77.5
Sergi Darder,RCD Espanyol,24,RCM,16000000.0,29000.0,34800000.0,117.5
J. Roussillon,VfL Wolfsburg,25,LB,14000000.0,44000.0,24900000.0,77.85714285714286
D. Demme,RB Leipzig,26,CDM,12000000.0,50000.0,21300000.0,77.5
J. Gouweleeuw,FC Augsburg,26,RCB,12000000.0,28000.0,21300000.0,77.5
J. Veretout,Fiorentina,25,CDM,16500000.0,59000.0,29300000.0,77.57575757575758
L. Kurzawa,Paris Saint-Germain,25,LB,13000000.0,68000.0,25000000.0,92.3076923076923
G. Ramírez,Sampdoria,27,CAM,13000000.0,41000.0,22100000.0,70.0
A. Mandi,Real Betis,26,RCB,13000000.0,26000.0,28300000.0,117.6923076923077
D. Sidibé,AS Monaco,25,RB,12000000.0,61000.0,23700000.0,97.5
Y. Konoplyanka,FC Schalke 04,28,LW,12500000.0,41000.0,21300000.0,70.39999999999999
S. Berghuis,Feyenoord,26,RW,15000000.0,20000.0,22100000.0,47.333333333333336
H. Vanaken,Club Brugge KV,25,CAM,15500000.0,27000.0,24400000.0,57.41935483870968
Campaña,Levante UD,25,CDM,15500000.0,28000.0,33700000.0,117.41935483870967
M. van Ginkel,Chelsea,25,CM,14500000.0,98000.0,27900000.0,92.41379310344827
Nolito,Sevilla FC,31,LM,11000000.0,21000.0,23100000.0,110.00000000000001
M. Gregoritsch,FC Augsburg,24,CAM,16000000.0,27000.0,28400000.0,77.5
Ibai Gómez,Deportivo Alavés,28,RM,12500000.0,31000.0,26300000.0,110.4
Danilo,Manchester City,26,RB,12000000.0,110000.0,23100000.0,92.5
R. Barkley,Chelsea,24,CAM,16000000.0,89000.0,30800000.0,92.5
M. Ryan,Brighton & Hove Albion,26,GK,10500000.0,41000.0,20700000.0,97.14285714285714
Sergio León,Real Betis,29,ST,12500000.0,32000.0,26300000.0,110.4
B. Stambouli,FC Schalke 04,27,RCB,10500000.0,33000.0,17900000.0,70.47619047619048
J. Guilavogui,VfL Wolfsburg,27,CDM,12000000.0,46000.0,21300000.0,77.5
Sérgio Oliveira,FC Porto,26,CM,15500000.0,17000.0,32200000.0,107.74193548387096
C. Wilson,Bournemouth,26,ST,15500000.0,77000.0,30600000.0,97.41935483870968
P. Jones,Manchester United,26,CB,12000000.0,110000.0,23100000.0,92.5
Borja García,Girona FC,27,LM,13000000.0,35000.0,27300000.0,110.00000000000001
Y. Belhanda,Galatasaray SK,28,CAM,12500000.0,65000.0,23800000.0,90.4
G. Pezzella,Fiorentina,27,RCB,12500000.0,56000.0,22200000.0,77.60000000000001
C. Tosun,Everton,27,ST,14500000.0,105000.0,28600000.0,97.24137931034483
Kike García,SD Eibar,28,ST,13000000.0,32000.0,27300000.0,110.00000000000001
Elkeson,Shanghai SIPG FC,28,ST,13000000.0,25000.0,28600000.0,120.0
Ricardo Goulart,Guangzhou Evergrande Taobao FC,27,CF,14500000.0,25000.0,33000000.0,127.58620689655173
J. Guðmundsson,Burnley,27,RM,13000000.0,61000.0,24700000.0,90.0
N. Clyne,Liverpool,27,RB,11500000.0,94000.0,22700000.0,97.3913043478261
Rafael,Olympique Lyonnais,27,RB,10500000.0,60000.0,20000000.0,90.47619047619048
J. Wilshere,West Ham United,26,CM,15000000.0,83000.0,29600000.0,97.33333333333334
F. Coquelin,Valencia CF,27,LCM,12000000.0,36000.0,26100000.0,117.5
Alex Teixeira,Jiangsu Suning FC,28,LS,13000000.0,30000.0,28000000.0,115.38461538461537
A. Dzagoev,PFC CSKA Moscow,28,RDM,12500000.0,1000.0,27500000.0,120.0
Y. M'Vila,AS Saint-Étienne,28,LDM,11500000.0,36000.0,22700000.0,97.3913043478261
D. Drinkwater,Chelsea,28,CM,12500000.0,110000.0,23100000.0,84.8
N. Kalinić,Atlético Madrid,30,ST,12000000.0,60000.0,24600000.0,105.0
S. Feghouli,Galatasaray SK,28,RM,12500000.0,65000.0,23800000.0,90.4
Adrien Silva,Leicester City,29,CM,12000000.0,75000.0,22800000.0,90.0
I. Traoré,Borussia Mönchengladbach,30,RM,12000000.0,34000.0,20400000.0,70.0
N. Petersen,SC Freiburg,29,RS,12500000.0,35000.0,22500000.0,80.0
M. Sakho,Crystal Palace,28,CB,11500000.0,58000.0,22700000.0,97.3913043478261
Sidnei,Real Betis,28,LCB,11500000.0,27000.0,25000000.0,117.3913043478261
S. Jovetić,AS Monaco,28,ST,13000000.0,79000.0,24700000.0,90.0
Eder,Jiangsu Suning FC,31,RS,11500000.0,29000.0,24700000.0,114.78260869565217
J. Hernández,West Ham United,30,ST,12000000.0,90000.0,22800000.0,90.0
Ángel,Getafe CF,31,ST,11500000.0,31000.0,24200000.0,110.43478260869566
M. Fellaini,Manchester United,30,CM,11500000.0,120000.0,21300000.0,85.21739130434783
T. Walcott,Everton,29,RM,12500000.0,105000.0,23800000.0,90.4
H. Ben Arfa,Stade Rennais FC,31,CAM,11000000.0,38000.0,20900000.0,90.0
R. Babel,Beşiktaş JK,31,LM,11000000.0,55000.0,20900000.0,90.0
Loren,Real Betis,24,RS,14000000.0,25000.0,30500000.0,117.85714285714286
Éder Militão,FC Porto,20,LCB,14000000.0,10000.0,30800000.0,120.0
F. Chiesa,Fiorentina,20,RW,16000000.0,46000.0,30400000.0,90.0
M. Lazzari,SPAL,24,RM,13000000.0,15000.0,24400000.0,87.6923076923077
A. Hakimi,Borussia Dortmund,19,LB,12500000.0,49000.0,25000000.0,100.0
S. Nakajima,Portimonense SC,23,LW,14000000.0,12000.0,32200000.0,130.0
L. Jović,Eintracht Frankfurt,20,LS,15500000.0,12000.0,30300000.0,95.48387096774194
S. Ascacíbar,VfB Stuttgart,21,CDM,12000000.0,24000.0,22800000.0,90.0
A. Lafont,Fiorentina,19,GK,14000000.0,12000.0,26600000.0,90.0
T. Alexander-Arnold,Liverpool,19,RB,14000000.0,36000.0,29400000.0,110.00000000000001
F. Krovinović,SL Benfica,22,CAM,14000000.0,12000.0,30800000.0,120.0
