Name,Club,Age,Position,Overall,Potential,Wage,Contract_Years_Remaining,Financial_Burden,Action
Evandro Rochedo,Atlético Mineiro,34,ST,73,73,29000.0,2.0,3016000.0,🔴 TERMINATE (No Resale Value)
M. Sperduti,Patronato,32,RM,73,73,13000.0,4.0,2704000.0,🔴 TERMINATE (No Resale Value)
Y. Gómez Andrade,Unión de Santa Fe,26,CB,73,75,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
B. Sanneh,RSC Anderlecht,23,CB,73,79,13000.0,4.0,2704000.0,🔵 LOAN OUT (Young)
Michel Cruceiro,Atlético Mineiro,26,LDM,73,73,24000.0,2.0,2496000.0,🟡 SELL NOW (Peak Age)
M. Tekdemir,Medipol Başakşehir FK,30,CDM,73,73,18000.0,2.0,1872000.0,🔴 TERMINATE (No Resale Value)
A. Browne,Preston North End,23,CAM,73,78,11000.0,2.0,1144000.0,🔵 LOAN OUT (Young)
Eduardo,SC Braga,25,CM,73,76,11000.0,4.0,2288000.0,🟡 SELL NOW (Peak Age)
J. Lolley,Nottingham Forest,25,RM,73,74,36000.0,3.0,5616000.0,🟡 SELL NOW (Peak Age)
V. Stocker,FC Basel 1893,29,LM,73,73,22000.0,2.0,2288000.0,🟡 SELL NOW (Peak Age)
D. Alar,SK Rapid Wien,28,ST,73,73,18000.0,3.0,2808000.0,🟡 SELL NOW (Peak Age)
M. Poundjé,FC Girondins de Bordeaux,25,LB,73,76,27000.0,2.0,2808000.0,🟡 SELL NOW (Peak Age)
A. Hahn,FC Augsburg,27,RM,73,73,20000.0,3.0,3120000.0,🟡 SELL NOW (Peak Age)
M. Leitner,Norwich City,25,LDM,73,75,22000.0,3.0,3432000.0,🟡 SELL NOW (Peak Age)
M. Mitrović,Club Brugge KV,24,CB,73,78,14000.0,3.0,2184000.0,🟡 SELL NOW (Peak Age)
N. Uysal,Beşiktaş JK,27,RCB,73,75,32000.0,2.0,3328000.0,🟡 SELL NOW (Peak Age)
A. Ujah,1. FSV Mainz 05,27,ST,73,73,23000.0,2.0,2392000.0,🟡 SELL NOW (Peak Age)
A. Kravets,Kayserispor,29,ST,73,73,14000.0,2.0,1456000.0,🟡 SELL NOW (Peak Age)
Rubén Alcaraz,Real Valladolid CF,27,LCM,73,74,16000.0,3.0,2496000.0,🟡 SELL NOW (Peak Age)
S. Amrabat,Club Brugge KV,21,CM,73,79,13000.0,3.0,2028000.0,🔵 LOAN OUT (Young)
B. Bolingoli,SK Rapid Wien,23,LB,73,78,12000.0,2.0,1248000.0,🔵 LOAN OUT (Young)
N. Etheridge,Cardiff City,28,GK,73,75,28000.0,2.0,2912000.0,🟡 SELL NOW (Peak Age)
H. Manzala,Angers SCO,24,LM,73,79,16000.0,3.0,2496000.0,🟡 SELL NOW (Peak Age)
W. Troost-Ekong,Udinese,24,RCB,73,77,17000.0,3.0,2652000.0,🟡 SELL NOW (Peak Age)
A. Diakhaby,Huddersfield Town,21,RM,73,78,26000.0,2.0,2704000.0,🔵 LOAN OUT (Young)
A. Ríos,Deportivo Toluca,29,RCM,73,73,19000.0,2.0,1976000.0,🟡 SELL NOW (Peak Age)
V. Pajot,Angers SCO,27,CM,73,73,19000.0,2.0,1976000.0,🟡 SELL NOW (Peak Age)
L. Waldschmidt,SC Freiburg,22,LS,73,79,19000.0,3.0,2964000.0,🔵 LOAN OUT (Young)
Y. Makarenko,RSC Anderlecht,27,CM,73,75,15000.0,3.0,2340000.0,🟡 SELL NOW (Peak Age)
A. Reach,Sheffield Wednesday,25,CAM,73,77,22000.0,2.0,2288000.0,🟡 SELL NOW (Peak Age)
Pierrino Faria,Santos,30,GK,73,73,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
J. McGinn,Aston Villa,23,RCM,73,78,15000.0,3.0,2340000.0,🔵 LOAN OUT (Young)
G. Cimirot,Standard de Liège,25,LCM,73,76,13000.0,3.0,2028000.0,🟡 SELL NOW (Peak Age)
S. Tibbling,Brøndby IF,23,LCM,73,79,19000.0,3.0,2964000.0,🔵 LOAN OUT (Young)
J. Schieber,FC Augsburg,29,ST,73,73,22000.0,2.0,2288000.0,🟡 SELL NOW (Peak Age)
V. Lazaro,Hertha BSC,22,RM,73,78,17000.0,2.0,1768000.0,🔵 LOAN OUT (Young)
L. Gamba,Club Atlético Huracán,31,RS,73,73,15000.0,4.0,3120000.0,🔴 TERMINATE (No Resale Value)
Oswaldito Cuba,Chapecoense,34,LB,73,73,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
L. Gil,Rosario Central,27,RDM,73,74,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
M. Bettinelli,Fulham,26,GK,73,77,30000.0,2.0,3120000.0,🟡 SELL NOW (Peak Age)
K. Frei,Medipol Başakşehir FK,24,LM,73,76,17000.0,2.0,1768000.0,🟡 SELL NOW (Peak Age)
Mauro Cildinho,Sport Club do Recife,34,RB,73,73,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
K. Hansen,FC Midtjylland,29,RCB,73,73,18000.0,3.0,2808000.0,🟡 SELL NOW (Peak Age)
S. Gürler,SD Huesca,26,RM,73,73,19000.0,3.0,2964000.0,🟡 SELL NOW (Peak Age)
D. Randolph,Middlesbrough,31,GK,73,73,31000.0,2.0,3224000.0,🔴 TERMINATE (No Resale Value)
J. Elez,Hannover 96,24,LCB,73,77,20000.0,2.0,2080000.0,🟡 SELL NOW (Peak Age)
J. Gutiérrez,Defensa y Justicia,34,CM,73,73,12000.0,3.0,1872000.0,🔴 TERMINATE (No Resale Value)
K. Rezaei,Club Brugge KV,26,ST,73,75,20000.0,3.0,3120000.0,🟡 SELL NOW (Peak Age)
J. Gómez,Club Atlético Lanús,24,RB,73,78,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
A. Cohen,FC Ingolstadt 04,29,LDM,73,73,20000.0,2.0,2080000.0,🟡 SELL NOW (Peak Age)
B. Raman,Fortuna Düsseldorf,23,LM,73,79,20000.0,3.0,3120000.0,🔵 LOAN OUT (Young)
B. Reid,Cardiff City,25,ST,73,78,37000.0,3.0,5772000.0,🟡 SELL NOW (Peak Age)
T. Heurtaux,MKE Ankaragücü,29,CB,73,73,17000.0,2.0,1768000.0,🟡 SELL NOW (Peak Age)
Marcos Guilherme,Al Wehda,22,RM,73,79,18000.0,4.0,3744000.0,🔵 LOAN OUT (Young)
B. Bannan,Sheffield Wednesday,28,LDM,73,73,24000.0,2.0,2496000.0,🟡 SELL NOW (Peak Age)
Édundo Oliveira,Cruzeiro,26,LCB,73,73,21000.0,2.0,2184000.0,🟡 SELL NOW (Peak Age)
A. Solari,Racing Club,26,RM,73,74,17000.0,2.0,1768000.0,🟡 SELL NOW (Peak Age)
Paolito Serra,Botafogo,26,LCB,73,73,17000.0,2.0,1768000.0,🟡 SELL NOW (Peak Age)
J. Fleck,Sheffield United,26,LCM,73,74,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
A. Webster,Bristol City,23,LCB,72,77,23000.0,3.0,3588000.0,🔵 LOAN OUT (Young)
V. Jovanović,FC Girondins de Bordeaux,22,CB,72,78,21000.0,2.0,2184000.0,🔵 LOAN OUT (Young)
Rober Ibáñez,Getafe CF,25,RM,72,75,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
D. Siovas,CD Leganés,29,CB,72,72,19000.0,2.0,1976000.0,🟡 SELL NOW (Peak Age)
J. Pohjanpalo,Bayer 04 Leverkusen,23,ST,72,77,35000.0,3.0,5460000.0,🔵 LOAN OUT (Young)
J. Kenny,Everton,21,RB,72,79,35000.0,3.0,5460000.0,🔵 LOAN OUT (Young)
C. Nørgaard,Fiorentina,24,CDM,72,79,27000.0,3.0,4212000.0,🟡 SELL NOW (Peak Age)
P. Gerkens,RSC Anderlecht,23,RF,72,77,13000.0,2.0,1352000.0,🔵 LOAN OUT (Young)
Jon Bautista,Real Sociedad,22,ST,72,78,18000.0,4.0,3744000.0,🔵 LOAN OUT (Young)
K. Karaman,Fortuna Düsseldorf,24,LM,72,76,18000.0,2.0,1872000.0,🟡 SELL NOW (Peak Age)
F. Ceccherini,Fiorentina,26,CB,72,77,32000.0,3.0,4992000.0,🟡 SELL NOW (Peak Age)
Otávinho Vila,Cruzeiro,34,LDM,72,72,18000.0,2.0,1872000.0,🔴 TERMINATE (No Resale Value)
A. Mendy,FC Girondins de Bordeaux,24,ST,72,77,26000.0,2.0,2704000.0,🟡 SELL NOW (Peak Age)
Sandelas Júnior,Santos,26,LDM,72,72,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
J. Schunke,Estudiantes de La Plata,31,RCB,72,72,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
M. Flekken,SC Freiburg,25,GK,72,75,12000.0,3.0,1872000.0,🟡 SELL NOW (Peak Age)
M. James,Leicester City,26,CM,72,72,41000.0,2.0,4264000.0,🟡 SELL NOW (Peak Age)
G. Vural,Akhisar Belediyespor,30,LB,72,72,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
M. Barrow,Reading,25,LW,72,73,25000.0,2.0,2600000.0,🟡 SELL NOW (Peak Age)
A. Scholz,FC Midtjylland,25,CB,72,76,14000.0,4.0,2912000.0,🟡 SELL NOW (Peak Age)
Timo Triano,Botafogo,34,LDM,72,72,15000.0,2.0,1560000.0,🔴 TERMINATE (No Resale Value)
M. Frey,Fenerbahçe SK,23,ST,72,78,38000.0,3.0,5928000.0,🔵 LOAN OUT (Young)
T. Lees,Sheffield Wednesday,27,RCB,72,73,19000.0,2.0,1976000.0,🟡 SELL NOW (Peak Age)
Aitor,Levante UD,27,GK,72,75,12000.0,3.0,1872000.0,🟡 SELL NOW (Peak Age)
I. Hayden,Newcastle United,23,CDM,72,79,25000.0,2.0,2600000.0,🔵 LOAN OUT (Young)
R. Strieder,FC Utrecht,25,CDM,72,75,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
A. González,Godoy Cruz,24,RW,72,77,11000.0,4.0,2288000.0,🟡 SELL NOW (Peak Age)
C. Jean,Toulouse Football Club,22,RM,72,77,17000.0,2.0,1768000.0,🔵 LOAN OUT (Young)
T. Moulin,MKE Ankaragücü,28,CDM,72,73,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
Vieiraldo Junior,Sport Club do Recife,26,LDM,72,72,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
Enzo Merques,Internacional,34,LB,72,72,17000.0,2.0,1768000.0,🔴 TERMINATE (No Resale Value)
Rômulo Calsede,Atlético Mineiro,30,ST,72,72,25000.0,2.0,2600000.0,🔴 TERMINATE (No Resale Value)
Marlion Simões,Ceará Sporting Club,26,LB,72,72,14000.0,2.0,1456000.0,🟡 SELL NOW (Peak Age)
Jota,Birmingham City,27,RM,72,72,21000.0,2.0,2184000.0,🟡 SELL NOW (Peak Age)
Porphirinho,Chapecoense,30,LDM,72,72,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
L. Cabrera,Getafe CF,26,LCB,72,75,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
K. Kusk,Aalborg BK,26,RM,72,72,11000.0,3.0,1716000.0,🟡 SELL NOW (Peak Age)
M. Pack,Bristol City,27,LCM,72,73,30000.0,2.0,3120000.0,🟡 SELL NOW (Peak Age)
Alessinito,Ceará Sporting Club,34,RDM,72,72,14000.0,2.0,1456000.0,🔴 TERMINATE (No Resale Value)
J. Nsame,BSC Young Boys,25,ST,72,77,17000.0,2.0,1768000.0,🟡 SELL NOW (Peak Age)
T. Lawrence,Derby County,24,LM,72,78,29000.0,2.0,3016000.0,🟡 SELL NOW (Peak Age)
M. Sobottka,Fortuna Düsseldorf,24,CDM,72,78,16000.0,3.0,2496000.0,🟡 SELL NOW (Peak Age)
F. Gaibor,Independiente,26,RDM,72,73,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
N. De la Cruz,River Plate,21,CAM,72,79,12000.0,2.0,1248000.0,🔵 LOAN OUT (Young)
S. Koroki,Urawa Red Diamonds,31,LS,72,72,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
Leordinho Paes,Santos,30,LAM,72,72,14000.0,2.0,1456000.0,🔴 TERMINATE (No Resale Value)
R. Wolf,Fortuna Düsseldorf,30,GK,72,72,15000.0,2.0,1560000.0,🔴 TERMINATE (No Resale Value)
P. Kunde Malong,1. FSV Mainz 05,22,CDM,72,79,15000.0,3.0,2340000.0,🔵 LOAN OUT (Young)
B. Afobe,Stoke City,25,ST,72,76,31000.0,3.0,4836000.0,🟡 SELL NOW (Peak Age)
A. Çalık,Galatasaray SK,24,CB,72,77,28000.0,2.0,2912000.0,🟡 SELL NOW (Peak Age)
S. Medina,Monterrey,26,RWB,72,74,28000.0,4.0,5824000.0,🟡 SELL NOW (Peak Age)
K. Diks,Fiorentina,21,RB,72,79,23000.0,2.0,2392000.0,🔵 LOAN OUT (Young)
C. Christie,Fulham,25,RCM,72,75,32000.0,2.0,3328000.0,🟡 SELL NOW (Peak Age)
B. Trawally,Guizhou Hengfeng FC,23,LS,72,78,11000.0,2.0,1144000.0,🔵 LOAN OUT (Young)
Jairinhazo,Sport Club do Recife,30,RAM,72,72,12000.0,2.0,1248000.0,🔴 TERMINATE (No Resale Value)
Jessé Ledeiro,Cruzeiro,30,CAM,72,72,20000.0,2.0,2080000.0,🔴 TERMINATE (No Resale Value)
J. Windass,Wigan Athletic,24,CAM,72,78,32000.0,2.0,3328000.0,🟡 SELL NOW (Peak Age)
K. Pedersen,Birmingham City,23,LB,72,77,16000.0,3.0,2496000.0,🔵 LOAN OUT (Young)
L. Carole,RC Strasbourg Alsace,27,LWB,72,73,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
F. Al Muwallad,Al Ittihad,23,LM,72,77,23000.0,3.0,3588000.0,🔵 LOAN OUT (Young)
S. van de Streek,FC Utrecht,25,CAM,72,74,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
A. Castro,San Lorenzo de Almagro,23,LM,72,78,13000.0,2.0,1352000.0,🔵 LOAN OUT (Young)
O. Nyland,Aston Villa,27,GK,72,74,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
R. Keogh,Derby County,31,RCB,72,72,27000.0,2.0,2808000.0,🔴 TERMINATE (No Resale Value)
Adrián Burnabão,Botafogo,34,LAM,72,72,16000.0,2.0,1664000.0,🔴 TERMINATE (No Resale Value)
Jorge Carvallinho,Botafogo,34,RCB,72,72,15000.0,2.0,1560000.0,🔴 TERMINATE (No Resale Value)
J. van Overeem,FC Utrecht,24,CDM,72,75,12000.0,3.0,1872000.0,🟡 SELL NOW (Peak Age)
F. Quignon,Club Atlético Lanús,25,LCM,72,77,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
L. Jiménez,Club Atlas,29,LCB,72,72,15000.0,3.0,2340000.0,🟡 SELL NOW (Peak Age)
L. Sigali,Racing Club,31,RCB,72,72,14000.0,4.0,2912000.0,🔴 TERMINATE (No Resale Value)
I. Seck,KRC Genk,28,CDM,72,72,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
J. Torres Nilo,Tigres U.A.N.L.,30,LCB,72,72,32000.0,4.0,6656000.0,🔴 TERMINATE (No Resale Value)
J. Correa,Club Atlético Colón,25,ST,72,75,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
F. Eboa Eboa,En Avant de Guingamp,21,CB,72,79,11000.0,4.0,2288000.0,🔵 LOAN OUT (Young)
S. Gustafson,FC Utrecht,23,RCM,72,77,12000.0,3.0,1872000.0,🔵 LOAN OUT (Young)
N. Murru,Sampdoria,23,LB,72,77,18000.0,3.0,2808000.0,🔵 LOAN OUT (Young)
Luís Leal,Newell's Old Boys,31,ST,72,72,15000.0,3.0,2340000.0,🔴 TERMINATE (No Resale Value)
Clayton Fildeiras,América FC (Minas Gerais),34,RAM,72,72,12000.0,2.0,1248000.0,🔴 TERMINATE (No Resale Value)
E. Buendía,Norwich City,21,RM,72,79,15000.0,3.0,2340000.0,🔵 LOAN OUT (Young)
F. Zuqui,Estudiantes de La Plata,26,RM,72,73,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
Paulao Junqueiras,Grêmio,30,ST,72,72,22000.0,2.0,2288000.0,🔴 TERMINATE (No Resale Value)
T. Savanier,Nîmes Olympique,26,LCM,72,75,14000.0,3.0,2184000.0,🟡 SELL NOW (Peak Age)
Nilsito Vilela,Chapecoense,30,ST,72,72,14000.0,2.0,1456000.0,🔴 TERMINATE (No Resale Value)
A. Morales,Fortuna Düsseldorf,28,CM,72,72,22000.0,2.0,2288000.0,🟡 SELL NOW (Peak Age)
L. Höler,SC Freiburg,23,ST,72,75,17000.0,3.0,2652000.0,🔵 LOAN OUT (Young)
G. Fofana,En Avant de Guingamp,25,CDM,72,77,14000.0,2.0,1456000.0,🟡 SELL NOW (Peak Age)
J. Arango,Al Batin,27,LS,72,73,12000.0,4.0,2496000.0,🟡 SELL NOW (Peak Age)
L. Montes,Club León,32,CAM,72,72,21000.0,2.0,2184000.0,🔴 TERMINATE (No Resale Value)
J. Garro,Club Atlético Huracán,25,LM,72,73,12000.0,4.0,2496000.0,🟡 SELL NOW (Peak Age)
N. Bertolo,Club Atlético Banfield,32,LM,72,72,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
Hugo Rubiães,Fluminense,34,CDM,72,72,18000.0,2.0,1872000.0,🔴 TERMINATE (No Resale Value)
Y. Bammou,Stade Malherbe Caen,26,ST,72,73,18000.0,3.0,2808000.0,🟡 SELL NOW (Peak Age)
Carleto Costinha,Fluminense,26,RCM,72,72,20000.0,2.0,2080000.0,🟡 SELL NOW (Peak Age)
Mauro Riboas,Cruzeiro,26,RAM,72,72,20000.0,2.0,2080000.0,🟡 SELL NOW (Peak Age)
O. Idrissi,AZ Alkmaar,22,LW,72,79,11000.0,3.0,1716000.0,🔵 LOAN OUT (Young)
Yu Hanchao,Guangzhou Evergrande Taobao FC,31,LM,72,72,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
A. Bamba,Angers SCO,28,RWB,72,72,16000.0,2.0,1664000.0,🟡 SELL NOW (Peak Age)
Santi da Bruma,Bahia,34,ST,72,72,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
Y. En-Nesyri,CD Leganés,21,LS,72,78,17000.0,4.0,3536000.0,🔵 LOAN OUT (Young)
Thiago Alminxa,América FC (Minas Gerais),26,ST,72,72,14000.0,2.0,1456000.0,🟡 SELL NOW (Peak Age)
T. Chevalier,KV Kortrijk,31,LS,72,72,12000.0,2.0,1248000.0,🔴 TERMINATE (No Resale Value)
M. Møller Dæhli,FC St. Pauli,23,LM,72,77,12000.0,2.0,1248000.0,🔵 LOAN OUT (Young)
V. Regini,Sampdoria,27,LB,72,72,21000.0,2.0,2184000.0,🟡 SELL NOW (Peak Age)
H. Martín,Club América,25,ST,72,75,41000.0,4.0,8528000.0,🟡 SELL NOW (Peak Age)
Cristian Lodeira,Vitória,26,ST,72,72,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
M. Waghorn,Derby County,28,ST,72,72,34000.0,2.0,3536000.0,🟡 SELL NOW (Peak Age)
Josué da Feira,Vitória,26,ST,72,72,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
D. Bouanga,Nîmes Olympique,23,LM,72,77,12000.0,2.0,1248000.0,🔵 LOAN OUT (Young)
T. Trybull,Norwich City,25,CDM,72,74,18000.0,2.0,1872000.0,🟡 SELL NOW (Peak Age)
T. Kalas,Bristol City,25,LCB,72,76,26000.0,2.0,2704000.0,🟡 SELL NOW (Peak Age)
A. Briançon,Nîmes Olympique,23,RCB,72,76,11000.0,2.0,1144000.0,🔵 LOAN OUT (Young)
K. Kerschbaumer,FC Ingolstadt 04,26,RDM,72,73,19000.0,2.0,1976000.0,🟡 SELL NOW (Peak Age)
P. Díaz,Al Ahli,23,LCB,72,79,20000.0,4.0,4160000.0,🔵 LOAN OUT (Young)
M. Ducksch,Fortuna Düsseldorf,24,ST,72,76,20000.0,3.0,3120000.0,🟡 SELL NOW (Peak Age)
C. Bernardi,Club Atlético Colón,28,RM,72,72,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
Y. Al Shahrani,Al Hilal,26,LB,72,74,24000.0,2.0,2496000.0,🟡 SELL NOW (Peak Age)
N. Boilesen,FC København,26,LB,72,74,14000.0,4.0,2912000.0,🟡 SELL NOW (Peak Age)
J. Otero,Amiens SC,23,RM,72,79,12000.0,2.0,1248000.0,🔵 LOAN OUT (Young)
A. Biyogo Poko,Göztepe SK,25,RDM,72,76,17000.0,2.0,1768000.0,🟡 SELL NOW (Peak Age)
F. Fontanini,Newell's Old Boys,28,LCB,72,73,13000.0,4.0,2704000.0,🟡 SELL NOW (Peak Age)
J. Jeanvier,Brentford,25,CB,72,76,26000.0,3.0,4056000.0,🟡 SELL NOW (Peak Age)
S. Moreira,Toulouse Football Club,23,RB,72,78,16000.0,2.0,1664000.0,🔵 LOAN OUT (Young)
C. Riaño,Club Necaxa,29,ST,72,72,12000.0,4.0,2496000.0,🟡 SELL NOW (Peak Age)
E. Alioski,Leeds United,26,LM,72,73,30000.0,2.0,3120000.0,🟡 SELL NOW (Peak Age)
G. Giménez,Vélez Sarsfield,26,RCM,72,73,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
Jonas Damasto,Paraná,34,LB,72,72,14000.0,2.0,1456000.0,🔴 TERMINATE (No Resale Value)
R. Salinas,Deportivo Toluca,30,RB,72,72,16000.0,2.0,1664000.0,🔴 TERMINATE (No Resale Value)
E. López,Guadalajara,23,CAM,72,76,23000.0,3.0,3588000.0,🔵 LOAN OUT (Young)
Joshuando Sá,Santos,34,LB,72,72,12000.0,2.0,1248000.0,🔴 TERMINATE (No Resale Value)
A. Zaldívar,Guadalajara,24,ST,72,77,25000.0,4.0,5200000.0,🟡 SELL NOW (Peak Age)
Jeff Meirson,América FC (Minas Gerais),26,LB,72,72,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
Nuno da Costa,RC Strasbourg Alsace,27,ST,72,73,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
B. Jeannot,Dijon FCO,26,ST,72,74,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
B. Sarmiento,Newell's Old Boys,28,CAM,72,72,14000.0,2.0,1456000.0,🟡 SELL NOW (Peak Age)
P. Stenzel,SC Freiburg,22,RB,72,77,14000.0,2.0,1456000.0,🔵 LOAN OUT (Young)
D. Le Tallec,Montpellier HSC,28,LCM,72,73,17000.0,3.0,2652000.0,🟡 SELL NOW (Peak Age)
R. Bobadilla,Argentinos Juniors,31,ST,72,72,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
C. Knasmüllner,SK Rapid Wien,26,CAM,72,75,14000.0,2.0,1456000.0,🟡 SELL NOW (Peak Age)
A. Milić,RSC Anderlecht,24,LB,72,77,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
S. Bahoken,Angers SCO,26,ST,72,75,18000.0,3.0,2808000.0,🟡 SELL NOW (Peak Age)
N. Höfler,SC Freiburg,28,CDM,72,72,17000.0,2.0,1768000.0,🟡 SELL NOW (Peak Age)
J. Dezi,Parma,26,CM,72,74,28000.0,3.0,4368000.0,🟡 SELL NOW (Peak Age)
N. Baker,Bristol City,27,CB,72,74,27000.0,2.0,2808000.0,🟡 SELL NOW (Peak Age)
M. Saymak,Çaykur Rizespor,25,CAM,72,76,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
J. Murphy,Rangers FC,28,LW,72,72,39000.0,2.0,4056000.0,🟡 SELL NOW (Peak Age)
L. Phiri,En Avant de Guingamp,23,CM,72,78,14000.0,2.0,1456000.0,🔵 LOAN OUT (Young)
Luismi,Real Valladolid CF,26,CDM,72,77,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
J. Bennett,Cardiff City,28,LB,72,72,30000.0,2.0,3120000.0,🟡 SELL NOW (Peak Age)
A. Weimann,Bristol City,26,RS,72,72,32000.0,2.0,3328000.0,🟡 SELL NOW (Peak Age)
C. Jullien,Toulouse Football Club,25,LCB,72,76,17000.0,2.0,1768000.0,🟡 SELL NOW (Peak Age)
Clinton Mata,Club Brugge KV,25,RM,72,73,15000.0,3.0,2340000.0,🟡 SELL NOW (Peak Age)
A. Murgia,Lazio,21,CM,72,78,22000.0,3.0,3432000.0,🔵 LOAN OUT (Young)
C. Mulgrew,Blackburn Rovers,32,CB,72,72,27000.0,2.0,2808000.0,🔴 TERMINATE (No Resale Value)
Alexandre Frandeira,Sport Club do Recife,30,LCB,72,72,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
G. Hanley,Norwich City,26,CB,72,74,19000.0,4.0,3952000.0,🟡 SELL NOW (Peak Age)
M. Cauteruccio,Cruz Azul,31,ST,72,72,20000.0,4.0,4160000.0,🔴 TERMINATE (No Resale Value)
L. Ariaudo,Frosinone,29,CB,72,72,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
S. Berahino,Stoke City,24,LW,71,76,25000.0,3.0,3900000.0,🟡 SELL NOW (Peak Age)
H. Lansbury,Aston Villa,27,CM,71,71,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
A. Kamara,Fulham,23,ST,71,76,31000.0,2.0,3224000.0,🔵 LOAN OUT (Young)
Tobias Figueiredo,Nottingham Forest,24,RCB,71,75,23000.0,3.0,3588000.0,🟡 SELL NOW (Peak Age)
Jordi Calavera,SD Eibar,22,RB,71,77,11000.0,2.0,1144000.0,🔵 LOAN OUT (Young)
S. Aydoğdu,Medipol Başakşehir FK,27,CM,71,71,16000.0,2.0,1664000.0,🟡 SELL NOW (Peak Age)
D. Appiah,RSC Anderlecht,26,RB,71,72,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
J. Paterson,Bristol City,26,LM,71,72,26000.0,2.0,2704000.0,🟡 SELL NOW (Peak Age)
Y. Chibsah,Frosinone,25,RCM,71,74,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
A. Gogia,1. FC Union Berlin,26,RW,71,72,21000.0,2.0,2184000.0,🟡 SELL NOW (Peak Age)
O. Hernández,Norwich City,25,LM,71,74,17000.0,2.0,1768000.0,🟡 SELL NOW (Peak Age)
S. Rosted,KAA Gent,23,CB,71,76,11000.0,2.0,1144000.0,🔵 LOAN OUT (Young)
C. Paterson,Cardiff City,23,RB,71,77,24000.0,3.0,3744000.0,🔵 LOAN OUT (Young)
G. Kvilitaia,KAA Gent,24,ST,71,74,13000.0,3.0,2028000.0,🟡 SELL NOW (Peak Age)
Heitor Gesse,Cruzeiro,34,LB,71,71,16000.0,2.0,1664000.0,🔴 TERMINATE (No Resale Value)
João Bardinho,Botafogo,34,LB,71,71,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
F. Barrientos,Club Atlético Lanús,26,CM,71,72,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
S. Mendoza,Amiens SC,26,LM,71,72,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
Alam Araújo,Grêmio,26,LB,71,71,16000.0,2.0,1664000.0,🟡 SELL NOW (Peak Age)
F. Andrijašević,KAA Gent,27,CAM,71,72,13000.0,3.0,2028000.0,🟡 SELL NOW (Peak Age)
C. Adams,Birmingham City,21,RS,71,79,15000.0,3.0,2340000.0,🔵 LOAN OUT (Young)
P. Škuletić,Montpellier HSC,28,ST,71,71,18000.0,2.0,1872000.0,🟡 SELL NOW (Peak Age)
